epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,58.9353,1.59759,1.46163,1.33243,0.82391,1,0.995,0.62988,1.39768,2.76666,1.44276,0.000493898,0.000493898,0.000493898
45,60.2025,0.95438,1.45579,0.98011,0.82391,1,0.995,0.62988,1.39768,2.76666,1.44276,0.000496672,0.000496672,0.000496672
46,61.6917,1.34242,1.48842,1.07982,1,0.8843,0.995,0.54663,1.41917,2.65845,1.55514,0.00049905,0.00049905,0.00049905
47,62.9713,1.17118,1.64844,1.27157,1,0.8843,0.995,0.54663,1.41917,2.65845,1.55514,0.000501032,0.000501032,0.000501032
48,64.1816,0.98699,1.17344,1.02085,1,0.8843,0.995,0.54663,1.41917,2.65845,1.55514,0.000502618,0.000502618,0.000502618
49,65.3103,1.334,1.6581,1.27578,1,0.8843,0.995,0.54663,1.41917,2.65845,1.55514,0.000503808,0.000503808,0.000503808
50,66.4548,1.7334,3.17943,1.77769,1,0.89263,0.995,0.50293,1.67466,2.6437,1.74889,0.000504602,0.000504602,0.000504602
51,67.6428,1.12449,3.14904,1.28243,1,0.89263,0.995,0.50293,1.67466,2.6437,1.74889,0.000505,0.000505,0.000505
52,68.941,0.8389,1.13468,0.93766,1,0.89263,0.995,0.50293,1.67466,2.6437,1.74889,0.000505002,0.000505002,0.000505002
53,70.2319,1.41661,1.94143,1.32256,1,0.89263,0.995,0.50293,1.67466,2.6437,1.74889,0.000504608,0.000504608,0.000504608
54,71.6152,1.5098,2.60923,1.75771,1,0.89263,0.995,0.50293,1.67466,2.6437,1.74889,0.000503818,0.000503818,0.000503818
55,73.142,1.46988,2.51357,1.61115,0.00333,1,0.995,0.46955,1.3236,3.00449,1.47245,0.000502632,0.000502632,0.000502632
56,74.471,1.23302,1.83869,1.47567,0.00333,1,0.995,0.46955,1.3236,3.00449,1.47245,0.00050105,0.00050105,0.00050105
57,75.7043,1.16098,1.47192,1.15032,0.00333,1,0.995,0.46955,1.3236,3.00449,1.47245,0.000499072,0.000499072,0.000499072
58,76.9077,0.80684,1.6499,1.16597,0.00333,1,0.995,0.46955,1.3236,3.00449,1.47245,0.000496698,0.000496698,0.000496698
59,78.4032,1.29534,1.76997,1.08106,0.00333,1,0.995,0.46955,1.3236,3.00449,1.47245,0.000493928,0.000493928,0.000493928
60,79.6907,0.9896,1.75485,1.20204,0.00333,1,0.995,0.72129,0.82356,2.64954,1.04273,0.000490762,0.000490762,0.000490762
61,81.1738,1.06076,1.31643,1.16354,0.00333,1,0.995,0.72129,0.82356,2.64954,1.04273,0.0004872,0.0004872,0.0004872
62,82.5613,1.3888,1.53791,1.49662,0.00333,1,0.995,0.72129,0.82356,2.64954,1.04273,0.000483242,0.000483242,0.000483242
63,83.7771,1.00285,1.98663,1.48844,0.00333,1,0.995,0.72129,0.82356,2.64954,1.04273,0.000478888,0.000478888,0.000478888
64,85.0022,1.18308,1.50842,1.04948,0.00333,1,0.995,0.72129,0.82356,2.64954,1.04273,0.000474138,0.000474138,0.000474138
65,86.5627,0.7585,1.45037,0.99785,1,0.87364,0.995,0.796,0.88421,2.40211,1.05142,0.000468992,0.000468992,0.000468992
66,87.6146,0.41124,1.56807,0.90149,1,0.87364,0.995,0.796,0.88421,2.40211,1.05142,0.00046345,0.00046345,0.00046345
67,88.8236,1.01865,1.21362,1.04405,1,0.87364,0.995,0.796,0.88421,2.40211,1.05142,0.000457512,0.000457512,0.000457512
68,89.9775,0.89125,1.69719,1.15273,1,0.87364,0.995,0.796,0.88421,2.40211,1.05142,0.000451178,0.000451178,0.000451178
69,91.1207,1.45734,1.61901,1.61339,1,0.87364,0.995,0.796,0.88421,2.40211,1.05142,0.000444448,0.000444448,0.000444448
70,92.1809,1.01998,1.32944,1.03442,1,0.87364,0.995,0.796,0.88421,2.40211,1.05142,0.000437322,0.000437322,0.000437322
71,93.3815,0.54522,1.20736,0.90559,1,0.95694,0.995,0.8955,0.7577,2.12353,0.95287,0.0004298,0.0004298,0.0004298
72,94.6543,0.47574,1.04932,0.91135,1,0.95694,0.995,0.8955,0.7577,2.12353,0.95287,0.000421882,0.000421882,0.000421882
73,95.7694,0.84371,1.28518,1.10567,1,0.95694,0.995,0.8955,0.7577,2.12353,0.95287,0.000413568,0.000413568,0.000413568
74,96.889,0.94248,1.66685,1.24511,1,0.95694,0.995,0.8955,0.7577,2.12353,0.95287,0.000404858,0.000404858,0.000404858
75,98.0646,1.22601,1.42698,1.15456,1,0.95694,0.995,0.8955,0.7577,2.12353,0.95287,0.000395752,0.000395752,0.000395752
76,99.1378,0.72097,1.19082,1.14745,1,0.95694,0.995,0.8955,0.7577,2.12353,0.95287,0.00038625,0.00038625,0.00038625
77,100.371,1.26495,1.67205,1.56505,1,0.99279,0.995,0.84559,0.66447,1.88849,0.8878,0.000376352,0.000376352,0.000376352
78,101.538,0.96662,1.51551,1.00957,1,0.99279,0.995,0.84559,0.66447,1.88849,0.8878,0.000366058,0.000366058,0.000366058
79,102.764,1.03032,1.70762,1.14217,1,0.99279,0.995,0.84559,0.66447,1.88849,0.8878,0.000355368,0.000355368,0.000355368
80,103.913,0.84914,1.06577,0.9731,1,0.99279,0.995,0.84559,0.66447,1.88849,0.8878,0.000344282,0.000344282,0.000344282
81,105.083,0.95179,1.10979,1.24045,1,0.99279,0.995,0.84559,0.66447,1.88849,0.8878,0.0003328,0.0003328,0.0003328
82,106.424,0.87987,1.15052,1.16429,1,0.99279,0.995,0.84559,0.66447,1.88849,0.8878,0.000320922,0.000320922,0.000320922
83,107.657,0.61657,1.05472,0.86429,1,0.99279,0.995,0.84559,0.66447,1.88849,0.8878,0.000308648,0.000308648,0.000308648
84,108.973,0.98455,1.30495,1.04338,0.9866,1,0.995,0.94504,0.5978,1.6939,0.88261,0.000295978,0.000295978,0.000295978
85,110.35,0.58893,1.39457,0.93144,0.9866,1,0.995,0.94504,0.5978,1.6939,0.88261,0.000282912,0.000282912,0.000282912
86,111.677,1.6205,2.09966,1.6082,0.9866,1,0.995,0.94504,0.5978,1.6939,0.88261,0.00026945,0.00026945,0.00026945
87,113.051,0.9055,1.47359,0.96698,0.9866,1,0.995,0.94504,0.5978,1.6939,0.88261,0.000255592,0.000255592,0.000255592
88,114.32,0.83283,1.11051,0.99673,0.9866,1,0.995,0.94504,0.5978,1.6939,0.88261,0.000241338,0.000241338,0.000241338
89,115.875,0.68354,0.97119,0.8853,0.9866,1,0.995,0.94504,0.5978,1.6939,0.88261,0.000226688,0.000226688,0.000226688
90,117.364,1.00903,0.89024,1.21919,0.9866,1,0.995,0.94504,0.5978,1.6939,0.88261,0.000211642,0.000211642,0.000211642
91,118.731,0.51632,1.49802,0.75353,0.98221,1,0.995,0.94504,0.56194,1.5427,0.86264,0.0001962,0.0001962,0.0001962
92,120.199,0.7209,1.47525,0.94886,0.98221,1,0.995,0.94504,0.56194,1.5427,0.86264,0.000180362,0.000180362,0.000180362
93,121.673,0.53722,1.39307,0.89931,0.98221,1,0.995,0.94504,0.56194,1.5427,0.86264,0.000164128,0.000164128,0.000164128
94,122.85,0.48576,1.43749,0.96765,0.98221,1,0.995,0.94504,0.56194,1.5427,0.86264,0.000147498,0.000147498,0.000147498
95,123.896,0.40374,1.87244,1.07887,0.98221,1,0.995,0.94504,0.56194,1.5427,0.86264,0.000130472,0.000130472,0.000130472
96,125.209,0.48649,1.35479,0.95816,0.98221,1,0.995,0.94504,0.56194,1.5427,0.86264,0.00011305,0.00011305,0.00011305
97,126.471,0.43899,1.3762,0.85334,0.98221,1,0.995,0.94504,0.56194,1.5427,0.86264,9.5232e-05,9.5232e-05,9.5232e-05
98,127.638,0.58962,1.64117,0.86697,0.98221,1,0.995,0.94504,0.56194,1.5427,0.86264,7.7018e-05,7.7018e-05,7.7018e-05
99,128.967,0.41804,1.58377,1.03225,0.98135,1,0.995,0.94504,0.5698,1.46894,0.85667,5.8408e-05,5.8408e-05,5.8408e-05
100,130.432,0.76089,1.60762,1.16452,0.98135,1,0.995,0.94504,0.5698,1.46894,0.85667,3.9402e-05,3.9402e-05,3.9402e-05
